episode_index,env_step,length,return,success,collision,time_exceeded,not_moving,past_goal,out_of_lane,distance_m,distance_km,collisions_per_km,lane_invasions,lane_invasions_per_km,exceed,returned,overtaken,min_ego_lead_dist,mean_off_center_m
0,359,358,0,0,1,0,0,0,0,9.957474722,0.009957474722,100.4270689,2,200.8541378,0,0,0,4.657212257,0.08359157334
1,477,117,0,0,1,0,0,0,0,9.716513443,0.009716513443,102.9175749,2,205.8351498,0,0,0,4.754775524,0.069655179
2,654,176,0,0,1,0,0,0,0,11.05759298,0.01105759298,90.43559497,3,271.3067849,0,0,0,4.671824455,0.2245832769
3,935,280,0,0,1,0,0,0,0,10.91135869,0.01091135869,91.64761499,6,549.88569,0,0,0,4.736840725,0.0997747911
4,1097,161,0,0,1,0,0,0,0,9.674572174,0.009674572174,103.3637438,0,0,0,0,0,4.761688232,0.04105792482
5,1229,131,0,0,1,0,0,0,0,9.895789966,0.009895789966,101.0530744,2,202.1061489,0,0,0,4.693168163,0.2845294056
6,1420,190,0,0,1,0,0,0,0,11.90043007,0.01190043007,84.03057652,2,168.061153,0,0,0,4.017421246,0.2104288253
7,1673,252,0,0,0,0,0,0,1,28.95260651,0.02895260651,0,11,379.9312506,1,0,0,2.122037888,0.6806526058
8,1867,193,0,0,1,0,0,0,0,10.80416793,0.01080416793,92.55687306,2,185.1137461,0,0,0,4.763054371,0.08705480637
9,2026,158,0,0,1,0,0,0,0,9.926213209,0.009926213209,100.7433529,2,201.4867057,0,0,0,4.677285671,0.2411715592
10,2252,225,0,0,1,0,0,0,0,9.674276292,0.009674276292,103.3669052,0,0,0,0,0,4.75620079,0.05426982732
11,2365,112,0,0,1,0,0,0,0,10.76726043,0.01076726043,92.8741351,0,0,0,0,0,4.766501904,0.07295393844
12,2744,378,0,0,1,0,0,0,0,9.676497985,0.009676497985,103.3431725,0,0,0,0,0,4.750827312,0.02265535228
13,2969,224,0,0,1,0,0,0,0,11.13721013,0.01113721013,89.78909334,4,359.1563734,0,0,0,4.610006332,0.2553258504
14,3130,160,0,0,1,0,0,0,0,9.67152651,0.00967152651,103.3962942,0,0,0,0,0,4.756914139,0.05334018588
15,3228,97,0,0,1,0,0,0,0,9.794658604,0.009794658604,102.096463,2,204.192926,0,0,0,4.737106323,0.3133906647
16,3342,113,0,0,1,0,0,0,0,11.41296368,0.01141296368,87.61966026,4,350.478641,0,0,0,4.425732613,0.6212303901
17,3480,137,0,0,1,0,0,0,0,10.88706486,0.01088706486,91.85212115,1,91.85212115,0,0,0,4.738956928,0.1922395556
18,3584,103,0,0,1,0,0,0,0,9.671427377,0.009671427377,103.397354,0,0,0,0,0,4.753219604,0.06850739243
19,3817,232,0,0,1,0,0,0,0,10.91969708,0.01091969708,91.5776319,6,549.4657914,0,0,0,4.724481583,0.1550054195
20,3919,101,0,0,1,0,0,0,0,9.671815421,0.009671815421,103.3932056,0,0,0,0,0,4.749854088,0.04814277973
21,4064,144,0,0,1,0,0,0,0,11.10625014,0.01110625014,90.03939108,3,270.1181732,0,0,0,4.620510101,0.2394661423
22,4371,306,0,0,1,0,0,0,0,9.7025111,0.0097025111,103.0661021,9,927.5949192,0,0,0,4.756228924,0.0876342811
23,4702,330,0,0,0,0,0,0,1,18.73742093,0.01873742093,0,6,320.214827,1,0,0,2.98897934,0.3341622555
24,4880,177,0,0,1,0,0,0,0,10.7873251,0.0107873251,92.7013871,0,0,0,0,0,4.753900528,0.07760265069
25,5164,283,0,0,1,0,0,0,0,10.01412144,0.01001412144,99.85898472,2,199.7179694,0,0,0,4.613797665,0.1296379136
26,5435,270,0,0,0,0,0,0,1,27.23657633,0.02723657633,0,12,440.5840093,1,0,0,2.431570292,0.6569002549
27,5589,153,0,0,1,0,0,0,0,9.674896068,0.009674896068,103.3602835,0,0,0,0,0,4.765067101,0.05358133702
28,5703,113,0,0,1,0,0,0,0,9.79108577,0.00979108577,102.1337187,4,408.5348749,0,0,0,4.746430397,0.2134501729
29,5978,274,0,0,1,0,0,0,0,10.78155537,0.01078155537,92.75099611,0,0,0,0,0,4.752267361,0.02551674157
30,6201,222,0,0,0,0,0,0,1,20.71429549,0.02071429549,0,12,579.3100714,1,0,0,3.181188583,0.6226226822
31,6413,211,0,0,1,0,0,0,0,9.717272095,0.009717272095,102.9095399,1,102.9095399,0,0,0,4.75841856,0.054356329
32,6590,176,0,0,1,0,0,0,0,11.48816205,0.01148816205,87.0461259,4,348.1845036,0,0,0,4.341181755,0.3326177299
33,6731,140,0,0,1,0,0,0,0,11.05512156,0.01105512156,90.4558122,4,361.8232488,0,0,0,4.658673286,0.2759435962
34,6861,129,0,0,1,0,0,0,0,9.714566866,0.009714566866,102.9381972,4,411.7527889,0,0,0,4.762123108,0.1736672542
35,6999,137,0,0,1,0,0,0,0,10.80655879,0.01080655879,92.53639565,1,92.53639565,0,0,0,4.761442661,0.1206486089
36,7131,131,0,0,1,0,0,0,0,9.794261368,0.009794261368,102.1006039,2,204.2012077,0,0,0,4.734956741,0.1902343367
37,7355,223,0,0,0,0,0,0,1,21.87355354,0.02187355354,0,6,274.3038523,1,0,0,2.428473949,0.5840415011
38,7593,237,0,0,1,0,0,0,0,9.717382077,0.009717382077,102.9083751,1,102.9083751,0,0,0,4.762993813,0.07088937927
39,7836,242,0,0,1,0,0,0,0,9.659677504,0.009659677504,103.5231248,0,0,0,0,0,4.761002064,0.02376172736
40,7992,155,0,0,1,0,0,0,0,11.8286584,0.0118286584,84.54044119,4,338.1617648,0,0,0,4.099140644,0.3091075097
41,8147,154,0,0,0,0,0,0,1,15.86848534,0.01586848534,0,3,189.0539604,1,0,0,2.79853034,1.003971632
42,8404,256,0,0,0,0,0,0,1,25.26412756,0.02526412756,0,11,435.3999549,1,0,0,2.602220297,0.6028411776
43,8580,175,0,0,1,0,0,0,0,10.65430079,0.01065430079,93.85881057,6,563.1528634,0,0,0,4.15565443,0.2057966634
44,8734,153,0,0,1,0,0,0,0,11.08527591,0.01108527591,90.20975283,3,270.6292585,0,0,0,4.626590729,0.2088584816
45,8880,145,0,0,1,0,0,0,0,10.04686251,0.01004686251,99.5335608,2,199.0671216,0,0,0,4.603216648,0.2723723864
46,8989,108,0,0,1,0,0,0,0,10.93951883,0.01093951883,91.41169878,2,182.8233976,0,0,0,4.717721462,0.2559817035
47,9280,290,0,0,0,0,0,0,1,18.40943382,0.01840943382,0,9,488.8797825,1,0,0,2.681726694,0.433558163
48,9559,278,0,0,1,0,0,0,0,9.981566251,0.009981566251,100.1846779,2,200.3693559,0,0,0,4.644986629,0.1338373314
49,9720,160,0,0,1,0,0,0,0,10.765475,0.010765475,92.88953811,0,0,0,0,0,4.754811764,0.03464880421
50,9920,199,0,0,0,0,0,0,1,20.49227473,0.02049227473,0,6,292.7932637,1,0,0,2.779742002,0.6050019368
51,10135,214,0,0,0,0,0,0,1,20.83097259,0.02083097259,0,7,336.0380785,1,0,0,2.571038485,0.5141896078
52,10268,132,0,0,1,0,0,0,0,9.679364849,0.009679364849,103.312564,0,0,0,0,0,4.760368347,0.06152045941
53,10401,132,0,0,1,0,0,0,0,10.76182049,0.01076182049,92.92108162,0,0,0,0,0,4.756678104,0.02833775558
54,10601,199,0,0,1,0,0,0,0,10.78537648,0.01078537648,92.7181357,4,370.8725428,0,0,0,4.762081146,0.143535934
55,10788,186,0,0,1,0,0,0,0,10.8078166,0.0108078166,92.52562631,0,0,0,0,0,4.746663094,0.1054954276
56,10958,169,0,0,1,0,0,0,0,10.35071028,0.01035071028,96.61172737,2,193.2234547,0,0,0,4.371007442,0.1668068331
57,11123,164,0,0,0,0,0,0,1,24.0066825,0.0240066825,0,6,249.93041,1,0,0,2.398045778,0.5542187136
58,11280,156,0,0,1,0,0,0,0,9.667178222,0.009667178222,103.4428017,0,0,0,0,0,4.759685993,0.06637162203
59,11458,177,0,0,1,0,0,0,0,10.04354296,0.01004354296,99.56645814,4,398.2658326,0,0,0,4.596360207,0.1863952074
60,11588,129,0,0,1,0,0,0,0,10.88795499,0.01088795499,91.84461185,2,183.6892237,0,0,0,4.747740269,0.2476165413
61,11734,145,0,0,1,0,0,0,0,11.60123038,0.01160123038,86.1977538,4,344.7910152,0,0,0,4.261032104,0.3048373334
62,12079,344,0,0,0,0,0,0,1,17.80196117,0.01780196117,0,3,168.5207585,1,0,0,2.311056614,0.4080680122
63,12201,121,0,0,1,0,0,0,0,11.16260344,0.01116260344,89.58483612,4,358.3393445,0,0,0,4.600771427,0.4311436305
64,12319,117,0,0,1,0,0,0,0,10.78334788,0.01078334788,92.73557813,0,0,0,0,0,4.744637489,0.06386436616
65,12477,157,0,0,1,0,0,0,0,9.668866925,0.009668866925,103.4247351,0,0,0,0,0,4.751495361,0.05918980668
66,12829,351,0,0,1,0,0,0,0,9.679561667,0.009679561667,103.3104633,0,0,0,0,0,4.750602245,0.02200439276
67,13025,195,0,0,1,0,0,0,0,11.21699989,0.01121699989,89.15039758,3,267.4511928,0,0,0,4.546329498,0.245956936
68,13129,103,0,0,1,0,0,0,0,9.884940058,0.009884940058,101.1639923,1,101.1639923,0,0,0,4.696568966,0.3139528451
69,13232,102,0,0,1,0,0,0,0,10.85377557,0.01085377557,92.13383801,2,184.267676,0,0,0,4.75094223,0.1250960552
70,13456,223,0,0,1,0,0,0,0,9.698763622,0.009698763622,103.1059256,1,103.1059256,0,0,0,4.761556625,0.06852330139
71,13780,323,0,0,1,0,0,0,0,10.89150726,0.01089150726,91.81465666,1,91.81465666,0,0,0,4.728316784,0.04179520504
72,13913,132,0,0,1,0,0,0,0,9.871309634,0.009871309634,101.3036808,4,405.2147231,0,0,0,4.708170891,0.2096188251
