episode_index,env_step,length,return,success,collision,time_exceeded,not_moving,past_goal,out_of_lane,distance_m,distance_km,collisions_per_km,lane_invasions,lane_invasions_per_km,exceed,returned,overtaken,min_ego_lead_dist,mean_off_center_m
0,441,440,0,0,1,0,0,0,0,15.27551162,0.01527551162,65.46425579,0,0,0,0,0,4.753024101,0.503352449
1,730,288,0,0,0,0,0,0,1,25.03299857,0.02503299857,0,9,359.525447,1,0,0,3.291786909,0.4834408157
2,970,239,0,0,1,0,0,0,0,15.33712852,0.01533712852,65.20125322,2,130.4025064,0,0,0,4.752889156,0.7124233237
3,1167,196,0,0,0,0,0,0,1,23.55869832,0.02355869832,0,9,382.0245023,1,0,0,3.414521694,0.6054869221
4,1318,150,0,0,1,0,0,0,0,15.30128914,0.01530128914,65.35397058,0,0,0,0,0,4.762622356,0.9484170473
5,1602,283,0,0,1,0,0,0,0,21.58901114,0.02158901114,46.31986122,3,138.9595836,1,0,0,2.409249783,0.5483152501
6,1827,224,0,0,0,0,0,0,1,22.10915868,0.02210915868,0,14,633.2217433,1,0,0,3.587199211,0.6996201767
7,2122,294,0,0,1,0,0,0,0,15.30104259,0.01530104259,65.35502363,12,784.2602836,0,0,0,4.760342598,0.5452207647
8,2364,241,0,0,1,0,0,0,0,15.3087846,0.0153087846,65.32197206,6,391.9318324,0,0,0,4.758824825,0.682907737
9,2561,196,0,0,1,0,0,0,0,15.28966126,0.01528966126,65.40367264,0,0,0,0,0,4.748006344,0.1671653259
10,2925,363,0,0,0,0,0,0,1,22.29748832,0.02229748832,0,9,403.6329056,1,0,0,3.647432327,0.4009723316
11,3200,274,0,0,1,0,0,0,0,19.18868426,0.01918868426,52.11404733,3,156.342142,0,0,0,3.290050507,0.5176081797
12,3377,176,0,0,1,0,0,0,0,15.37423233,0.01537423233,65.04389805,4,260.1755922,0,0,0,4.782719612,0.3968700631
13,3538,160,0,0,1,0,0,0,0,15.54644179,0.01554644179,64.3234004,4,257.2936016,0,0,0,4.68720293,0.6274677127
14,3771,232,0,0,0,0,0,0,1,23.27606433,0.02327606433,0,9,386.6633067,1,0,0,3.301874399,0.6340895656
15,3924,152,0,0,1,0,0,0,0,15.98387601,0.01598387601,62.56304786,4,250.2521914,0,0,0,4.405210972,0.5020110604
16,4253,328,0,0,0,0,0,0,1,30.87592432,0.03087592432,0,14,453.4277211,1,0,0,2.730717182,0.7687808401
17,4481,227,0,0,1,0,0,0,0,15.30099406,0.01530099406,65.35523092,2,130.7104618,0,0,0,4.760126114,0.1393923163
18,5000,518,0,0,1,0,0,0,0,15.3237481,0.0153237481,65.25818576,1,65.25818576,0,0,0,4.779688835,0.1625109502
19,5201,200,0,0,1,0,0,0,0,15.71627704,0.01571627704,63.62830059,5,318.141503,0,0,0,4.613789558,0.6652112875
20,5392,190,0,0,1,0,0,0,0,17.165871,0.017165871,58.25512727,2,116.5102545,0,0,0,3.423727036,0.4974930536
21,5543,150,0,0,1,0,0,0,0,15.96370112,0.01596370112,62.64211493,7,438.4948045,0,0,0,4.394649506,0.4953572161
