episode_index,env_step,length,return,success,collision,time_exceeded,not_moving,past_goal,out_of_lane,distance_m,distance_km,collisions_per_km,lane_invasions,lane_invasions_per_km,exceed,returned,overtaken,min_ego_lead_dist,mean_off_center_m
0,346,345,400,1,0,0,0,0,0,67.93028259,0.06793028259,0,6,88.32585073,0,0,0,inf,0.4946170062
1,696,349,1000,1,0,0,0,0,0,84.33060455,0.08433060455,0,17,201.5875505,0,0,0,inf,0.2495939747
2,1040,343,1200,1,0,0,0,0,0,48.48873901,0.04848873901,0,12,247.4801417,0,0,0,inf,0.1136321497
3,1391,350,400,1,0,0,0,0,0,67.63913727,0.06763913727,0,6,88.70603976,0,0,0,inf,0.5305765605
4,1804,412,600,1,0,0,0,0,0,67.57048798,0.06757048798,0,11,162.7929638,0,0,0,inf,0.6087461637
5,2155,350,2200,0,0,0,0,1,0,84.98103333,0.08498103333,0,13,152.975311,0,0,0,inf,0.3220988226
6,2508,352,0,0,0,0,0,1,0,48.93861389,0.04893861389,0,6,122.6025734,0,0,0,inf,0.1417891357
7,2845,336,800,1,0,0,0,0,0,83.731987,0.083731987,0,17,203.0287422,0,0,0,inf,0.2034966796
8,3186,340,400,1,0,0,0,0,0,67.74673462,0.06774673462,0,6,88.56515423,0,0,0,inf,0.4915853272
9,3529,342,0,0,0,0,0,1,0,49.0747757,0.0490747757,0,12,244.5248059,0,0,0,inf,0.116872645
10,3971,441,600,1,0,0,0,0,0,68.22412109,0.06822412109,0,10,146.5757248,0,0,0,inf,0.7409840635
11,4310,338,200,1,0,0,0,0,0,67.29029846,0.06729029846,0,8,118.8878662,0,0,0,inf,0.5394712454
12,4661,350,0,0,0,0,0,1,0,49.10078812,0.04910078812,0,20,407.3254375,0,0,0,inf,0.1243175594
13,5128,466,600,1,0,0,0,0,0,68.21535492,0.06821535492,0,7,102.6161926,0,0,0,inf,0.813879068
14,5468,339,1000,1,0,0,0,0,0,82.99596405,0.08299596405,0,18,216.8780158,0,0,0,inf,0.3914113833
15,5818,349,0,0,0,0,0,1,0,48.90592957,0.04890592957,0,6,122.6845099,0,0,0,inf,0.1399261387
16,6318,499,600,1,0,0,0,0,0,67.85206604,0.06785206604,0,7,103.1656132,0,0,0,inf,0.8573144752
17,6648,329,200,1,0,0,0,0,0,67.44296265,0.06744296265,0,4,59.30937555,0,0,0,inf,0.4803875057
18,6993,344,800,1,0,0,0,0,0,83.79132843,0.08379132843,0,11,131.2785011,0,0,0,inf,0.2098084529
19,7340,346,0,0,0,0,0,1,0,48.98043442,0.04898043442,0,16,326.6610472,0,0,0,inf,0.1238372623
20,7671,330,400,1,0,0,0,0,0,67.47348785,0.06747348785,0,6,88.92381572,0,0,0,inf,0.490732081
21,8013,341,800,1,0,0,0,0,0,83.87773895,0.08387773895,0,22,262.286517,0,0,0,inf,0.2247774662
22,8533,519,600,1,0,0,0,0,0,67.54512787,0.06754512787,0,5,74.02458412,0,0,0,inf,0.920609154
23,8979,445,600,1,0,0,0,0,0,67.32873535,0.06732873535,0,8,118.819995,0,0,0,inf,0.7181522267
24,9317,337,800,1,0,0,0,0,0,83.14643097,0.08314643097,0,14,168.3776422,0,0,0,inf,0.281739665
25,9660,342,0,0,0,0,0,1,0,49.05456543,0.04905456543,0,15,305.7819363,0,0,0,inf,0.1229936989
26,10000,339,400,1,0,0,0,0,0,67.3291626,0.0673291626,0,6,89.11443078,0,0,0,inf,0.5125584392
27,10334,333,400,1,0,0,0,0,0,67.46669769,0.06746669769,0,6,88.93276543,0,0,0,inf,0.497367685
28,10659,324,1000,1,0,0,0,0,0,83.28670502,0.08328670502,0,12,144.0806188,0,0,0,inf,0.3370013817
29,11123,463,800,1,0,0,0,0,0,68.39539337,0.06839539337,0,13,190.0712805,0,0,0,inf,0.7256088047
30,11469,345,0,0,0,0,0,1,0,49.00025177,0.04900025177,0,10,204.0805841,0,0,0,inf,0.1164684953
31,11899,429,600,1,0,0,0,0,0,67.36740112,0.06736740112,0,9,133.5957726,0,0,0,inf,0.5793954129
32,12257,357,1800,0,0,0,0,1,0,85.49755859,0.08549755859,0,11,128.6586445,0,0,0,inf,0.3751972329
33,12606,348,0,0,0,0,0,1,0,48.97573853,0.04897573853,0,6,122.5096381,0,0,0,inf,0.1440295778
