episode_index,env_step,length,return,success,collision,time_exceeded,not_moving,past_goal,out_of_lane,distance_m,distance_km,collisions_per_km,lane_invasions,lane_invasions_per_km,exceed,returned,overtaken,min_ego_lead_dist,mean_off_center_m
0,233,232,-150,0,1,0,0,0,0,44.64107895,0.04464107895,22.40089226,11,246.4098149,0,0,0,inf,0.323788867
1,539,305,400,1,0,0,0,0,0,61.89559174,0.06189559174,0,6,96.9374366,0,0,0,inf,0.1982032779
2,849,309,400,1,0,0,0,0,0,62.58580017,0.06258580017,0,2,31.95613054,0,0,0,inf,0.2157866603
3,1621,771,400,1,0,0,0,0,0,180.9036255,0.1809036255,0,16,88.44488305,0,0,0,inf,0.4982716431
4,2508,886,200,1,0,0,0,0,0,174.2969055,0.1742969055,0,39,223.756124,0,0,0,inf,0.590905664
5,2726,217,200,1,0,0,0,0,0,41.46228409,0.04146228409,0,2,48.23660934,0,0,0,inf,0.249559079
6,2868,141,-150,0,1,0,0,0,0,20.21278381,0.02021278381,49.47364051,2,98.94728101,0,0,0,inf,3.432337049
7,3626,757,200,1,0,0,0,0,0,159.8789673,0.1598789673,0,20,125.0946284,0,0,0,inf,0.671004665
8,3866,239,400,1,0,0,0,0,0,45.9201889,0.0459201889,0,6,130.6614834,0,0,0,inf,0.3818349574
9,4086,219,400,1,0,0,0,0,0,41.79943848,0.04179943848,0,6,143.5425981,0,0,0,inf,0.2060641679
10,4222,135,-150,0,1,0,0,0,0,20.49683952,0.02049683952,48.78800943,2,97.57601887,0,0,0,inf,3.462577956
11,4461,238,400,1,0,0,0,0,0,46.16217041,0.04616217041,0,9,194.9648364,0,0,0,inf,0.4273492064
12,4678,216,-150,0,1,0,0,0,0,40.8646698,0.0408646698,24.47101628,9,220.2391465,0,0,0,inf,0.3175351663
13,5581,902,200,1,0,0,0,0,0,174.4003143,0.1744003143,0,54,309.6324695,0,0,0,inf,0.5687644226
14,6368,786,0,0,0,0,0,1,0,182.8196259,0.1828196259,0,61,333.6622078,0,0,0,inf,0.3631749654
15,6676,307,400,1,0,0,0,0,0,62.54965973,0.06254965973,0,0,0,0,0,0,inf,0.2165589204
16,7437,760,400,1,0,0,0,0,0,159.9640808,0.1599640808,0,14,87.51964772,0,0,0,inf,0.5669299882
17,8217,779,400,1,0,0,0,0,0,181.794754,0.181794754,0,24,132.0170108,0,0,0,inf,0.5110249572
18,8525,307,400,1,0,0,0,0,0,61.90425873,0.06190425873,0,2,32.30795491,0,0,0,inf,0.2366678678
19,8743,217,400,1,0,0,0,0,0,41.54267502,0.04154267502,0,0,0,0,0,0,inf,0.1838661522
20,8968,224,-150,0,1,0,0,0,0,41.98004913,0.04198004913,23.8208392,8,190.5667136,0,0,0,inf,0.323043693
21,9274,305,400,1,0,0,0,0,0,62.59246445,0.06259246445,0,4,63.90545628,0,0,0,inf,0.193487134
22,10050,775,400,1,0,0,0,0,0,181.8829041,0.1818829041,0,42,230.9177997,0,0,0,inf,0.5203198744
23,10290,239,400,1,0,0,0,0,0,46.65393829,0.04665393829,0,4,85.73767074,0,0,0,inf,0.4883032941
24,10597,306,400,1,0,0,0,0,0,61.85975647,0.06185975647,0,18,290.980777,0,0,0,inf,0.2139008848
25,10648,50,-150,0,1,0,0,0,0,2.215572119,0.002215572119,451.3506879,1,451.3506879,0,0,0,inf,3.628870921
26,11439,790,0,0,0,0,0,1,0,183.2999268,0.1832999268,0,48,261.8658984,0,0,0,inf,0.3780392468
27,12177,737,400,1,0,0,0,0,0,159.8912354,0.1598912354,0,8,50.03401207,0,0,0,inf,0.7334445013
28,13035,857,200,1,0,0,0,0,0,175.2881775,0.1752881775,0,55,313.7690219,0,0,0,inf,0.49296591
29,13255,219,400,1,0,0,0,0,0,41.50522232,0.04150522232,0,0,0,0,0,0,inf,0.1990309891
30,13484,228,-150,0,1,0,0,0,0,42.17511368,0.04217511368,23.7106652,10,237.106652,0,0,0,inf,0.3129767387
31,14339,854,200,1,0,0,0,0,0,174.7176514,0.1747176514,0,42,240.3878467,0,0,0,inf,0.5487887358
32,14644,304,600,1,0,0,0,0,0,62.06488419,0.06206488419,0,15,241.6825585,0,0,0,inf,0.2187853926
