episode_index,env_step,length,return,success,collision,time_exceeded,not_moving,past_goal,out_of_lane,distance_m,distance_km,collisions_per_km,lane_invasions,lane_invasions_per_km,exceed,returned,overtaken,min_ego_lead_dist,mean_off_center_m
0,130,129,-150,0,1,0,0,0,0,14.20843697,0.01420843697,70.38071833,6,422.28431,0,0,0,inf,0.1541252516
1,869,738,-150,0,1,0,0,0,0,41.12492752,0.04112492752,24.31615228,12,291.7938273,0,0,0,inf,0.5551988105
2,1063,193,-150,0,1,0,0,0,0,25.16635704,0.02516635704,39.73558821,7,278.1491174,0,0,0,inf,0.1289289101
3,2240,1176,0,0,0,0,1,0,0,15.15174675,0.01515174675,0,0,0,0,0,0,inf,0.1687979109
4,2861,620,0,0,0,0,1,0,0,16.18220139,0.01618220139,0,4,247.1851576,0,0,0,inf,0.2330978241
5,3050,188,-150,0,1,0,0,0,0,26.58040619,0.02658040619,37.62169746,4,150.4867898,0,0,0,inf,0.1866747843
6,5051,2000,0,0,0,1,0,0,0,22.91331291,0.02291331291,0,8,349.1420045,0,0,0,inf,0.3632337159
7,5325,273,-150,0,1,0,0,0,0,54.87553787,0.05487553787,18.22305601,9,164.0075041,0,0,0,inf,0.358067658
8,5538,212,-150,0,1,0,0,0,0,25.73365593,0.02573365593,38.85961648,8,310.8769318,0,0,0,inf,0.1879553873
9,7539,2000,0,0,0,1,0,0,0,21.88342667,0.02188342667,0,2,91.39336497,0,0,0,inf,0.5480793619
10,7668,128,-150,0,1,0,0,0,0,14.32372952,0.01432372952,69.81421975,6,418.8853185,0,0,0,inf,0.1505239143
11,7868,199,-150,0,1,0,0,0,0,26.86391258,0.02686391258,37.22465955,8,297.7972764,0,0,0,inf,0.18998108
12,7999,130,-150,0,1,0,0,0,0,14.46007919,0.01446007919,69.15591448,4,276.6236579,0,0,0,inf,0.1482253259
13,10000,2000,0,0,0,1,0,0,0,20.76576805,0.02076576805,0,1,48.15617691,0,0,0,inf,0.2236343894
14,12001,2000,0,0,0,1,0,0,0,23.56219673,0.02356219673,0,1,42.44086455,0,0,0,inf,0.2128160662
15,12137,135,-150,0,1,0,0,0,0,15.58792305,0.01558792305,64.15222841,6,384.9133705,0,0,0,inf,0.1525324456
16,12329,191,-150,0,1,0,0,0,0,28.43249321,0.02843249321,35.17102748,3,105.5130824,0,0,0,inf,0.052191752
17,12584,254,-150,0,1,0,0,0,0,48.59010315,0.04859010315,20.58032264,10,205.8032264,0,0,0,inf,0.3140811922
18,14585,2000,0,0,0,1,0,0,0,20.72843361,0.02072843361,0,1,48.24291207,0,0,0,inf,0.1591443881
19,16586,2000,0,0,0,1,0,0,0,20.15681458,0.02015681458,0,1,49.6110135,0,0,0,inf,0.1181745726
20,16791,204,-150,0,1,0,0,0,0,32.99106598,0.03299106598,30.3112364,14,424.3573096,0,0,0,inf,0.1987071398
21,18456,1664,0,0,0,0,1,0,0,17.3062439,0.0173062439,0,7,404.4782936,0,0,0,inf,0.8557024306
22,18657,200,-150,0,1,0,0,0,0,27.64422226,0.02764422226,36.17392418,9,325.5653176,0,0,0,inf,0.2460726095
23,18790,132,-150,0,1,0,0,0,0,14.9774971,0.0149774971,66.76682982,7,467.3678087,0,0,0,inf,0.1688662845
24,20378,1587,0,0,0,0,1,0,0,18.57665634,0.01857665634,0,2,107.6620013,0,0,0,inf,0.3288154639
25,20596,217,-150,0,1,0,0,0,0,35.8885994,0.0358885994,27.86400185,16,445.8240296,0,0,0,inf,0.2124823007
26,20787,190,-150,0,1,0,0,0,0,27.98979378,0.02798979378,35.7273086,8,285.8184688,0,0,0,inf,0.1000731747
27,22788,2000,0,0,0,1,0,0,0,22.54097939,0.02254097939,0,9,399.272802,0,0,0,inf,0.3064541387
28,22982,193,-150,0,1,0,0,0,0,28.05409241,0.02805409241,35.64542333,9,320.80881,0,0,0,inf,0.1997643961
29,23582,599,0,0,0,0,1,0,0,13.6216526,0.0136216526,0,5,367.0626572,0,0,0,inf,0.4771103209
30,23792,209,-150,0,1,0,0,0,0,34.06188202,0.03406188202,29.3583308,9,264.2249772,0,0,0,inf,0.1584693992
31,23980,187,-150,0,1,0,0,0,0,27.67212486,0.02767212486,36.13744897,9,325.2370407,0,0,0,inf,0.2119707461
32,25690,1709,0,0,0,0,1,0,0,20.8215332,0.0208215332,0,3,144.0816087,0,0,0,inf,0.2521601043
33,25951,260,-150,0,1,0,0,0,0,48.88364029,0.04888364029,20.45674164,14,286.394383,0,0,0,inf,0.1900741644
34,26088,136,-150,0,1,0,0,0,0,15.7980814,0.0157980814,63.29882565,6,379.7929539,0,0,0,inf,0.151275588
35,26283,194,-150,0,1,0,0,0,0,29.19472885,0.02919472885,34.25275861,10,342.5275861,0,0,0,inf,0.1626156552
36,28284,2000,0,0,0,1,0,0,0,30.26250839,0.03026250839,0,4,132.1767498,0,0,0,inf,0.4671996171
37,28774,489,0,0,0,0,1,0,0,0.005863848142,5.86E-06,0,0,0,0,0,0,inf,0.0143130996
38,29710,935,0,0,0,0,1,0,0,13.01102257,0.01301102257,0,5,384.2895494,0,0,0,inf,0.8193973064
39,30220,509,0,0,0,0,1,0,0,0.005855717696,5.86E-06,0,0,0,0,0,0,inf,0.01363093739
40,30355,134,-150,0,1,0,0,0,0,15.71902561,0.01571902561,63.6171748,6,381.7030488,0,0,0,inf,0.1560031614
41,30579,223,-150,0,1,0,0,0,0,29.54066849,0.02954066849,33.85163746,8,270.8130997,0,0,0,inf,0.215592075
42,32580,2000,0,0,0,1,0,0,0,23.5892601,0.0235892601,0,2,84.78434641,0,0,0,inf,0.1647373223
43,32846,265,-150,0,1,0,0,0,0,51.40005493,0.05140005493,19.45523213,11,214.0075534,0,0,0,inf,0.2859978074
44,33045,198,-150,0,1,0,0,0,0,30.15511513,0.03015511513,33.16186974,8,265.294958,0,0,0,inf,0.145493685
45,35046,2000,0,0,0,1,0,0,0,24.44434547,0.02444434547,0,14,572.7295916,0,0,0,inf,0.4857671976
46,37047,2000,0,0,0,1,0,0,0,22.79964828,0.02279964828,0,1,43.86032572,0,0,0,inf,0.218202287
47,37251,203,-150,0,1,0,0,0,0,31.71411514,0.03171411514,31.53170112,4,126.1268045,0,0,0,inf,0.2996317964
48,37453,201,-150,0,1,0,0,0,0,30.641922,0.030641922,32.63502858,8,261.0802286,0,0,0,inf,0.2380345549
49,37941,487,0,0,0,0,1,0,0,0.005865935236,5.87E-06,0,0,0,0,0,0,inf,0.01429602825
50,38079,137,-150,0,1,0,0,0,0,15.87872696,0.01587872696,62.97734085,6,377.8640451,0,0,0,inf,0.1593717312
51,40080,2000,0,0,0,1,0,0,0,38.44636154,0.03844636154,0,12,312.1231638,0,0,0,inf,0.8534081787
