episode_index,env_step,length,return,success,collision,time_exceeded,not_moving,past_goal,out_of_lane,distance_m,distance_km,collisions_per_km,lane_invasions,lane_invasions_per_km,exceed,returned,overtaken,min_ego_lead_dist,mean_off_center_m
0,260,259,0,0,0,0,1,0,0,0.002350717783,2.35E-06,0,0,0,0,0,0,inf,3.602213923
1,465,204,0,0,0,0,1,0,0,0.002058722312,2.06E-06,0,0,0,0,0,0,inf,0.4658754015
2,1200,734,0,0,0,0,1,0,0,30.27352905,0.03027352905,0,4,132.1286327,0,0,0,inf,0.3408677866
3,1413,212,0,0,0,0,1,0,0,0.00209652097,2.10E-06,0,0,0,0,0,0,inf,0.3849227935
4,1961,547,-150,0,1,0,0,0,0,21.76243782,0.02176243782,45.95073439,8,367.6058751,0,0,0,inf,0.4190595161
5,2164,202,0,0,0,0,1,0,0,0.000587006507,5.87E-07,0,0,0,0,0,0,inf,0.29933429
6,2371,206,0,0,0,0,1,0,0,0.001309802756,1.31E-06,0,0,0,0,0,0,inf,0.07533899829
7,2576,204,0,0,0,0,1,0,0,0.0105779171,1.06E-05,0,0,0,0,0,0,inf,0.2794555531
8,2780,203,0,0,0,0,1,0,0,0.925247848,0.000925247848,0,1,1080.79149,0,0,0,inf,0.6047880012
9,2982,201,0,0,0,0,1,0,0,0.0004987452994,4.99E-07,0,0,0,0,0,0,inf,0.2783977096
10,3354,371,-150,0,1,0,0,0,0,15.60257626,0.01560257626,64.09197966,1,64.09197966,0,0,0,inf,3.329116582
11,3931,576,-150,0,1,0,0,0,0,26.20936203,0.02620936203,38.15430528,12,457.8516633,0,0,0,inf,0.4632735049
12,4425,493,-150,0,1,0,0,0,0,22.8385334,0.0228385334,43.78564869,10,437.8564869,0,0,0,inf,0.7715068212
13,4634,208,0,0,0,0,1,0,0,0.001388729783,1.39E-06,0,0,0,0,0,0,inf,0.2401789357
14,4867,232,-150,0,1,0,0,0,0,29.08920097,0.02908920097,34.3770185,4,137.508074,0,0,0,inf,0.3582982018
15,5068,200,0,0,0,0,1,0,0,0.001261461526,1.26E-06,0,0,0,0,0,0,inf,0.07542336214
16,5278,209,0,0,0,0,1,0,0,0.0005693718558,5.69E-07,0,0,0,0,0,0,inf,0.2993456714
17,6241,962,-150,0,1,0,0,0,0,47.34613419,0.04734613419,21.12104858,19,401.2999229,0,0,0,inf,0.5764166764
18,6926,684,0,0,0,0,1,0,0,18.61966515,0.01861966515,0,8,429.6532691,0,0,0,inf,0.6365423702
19,7333,406,-150,0,1,0,0,0,0,15.81628418,0.01581628418,63.22597575,1,63.22597575,0,0,0,inf,3.450909058
20,7540,206,0,0,0,0,1,0,0,0.0005616293638,5.62E-07,0,0,0,0,0,0,inf,0.2993093283
21,7746,205,0,0,0,0,1,0,0,0.002098483033,2.10E-06,0,0,0,0,0,0,inf,0.4658765185
22,8203,456,-150,0,1,0,0,0,0,19.08573723,0.01908573723,52.3951466,12,628.7417592,0,0,0,inf,0.4836230697
23,8794,590,-150,0,1,0,0,0,0,24.59166145,0.02459166145,40.66419025,11,447.3060928,0,0,0,inf,0.8367369005
24,9954,1159,0,0,0,0,1,0,0,42.20378494,0.04220378494,0,7,165.861901,0,0,0,inf,0.5332855675
25,11009,1054,0,0,0,0,0,1,0,43.67164612,0.04367164612,0,8,183.1852177,0,0,0,inf,0.6041049053
26,11618,608,0,0,0,0,1,0,0,17.62450981,0.01762450981,0,7,397.1741668,0,0,0,inf,0.6920208697
27,11817,198,0,0,0,0,1,0,0,0.001271322137,1.27E-06,0,0,0,0,0,0,inf,0.07536276908
28,12442,624,-150,0,1,0,0,0,0,27.78997612,0.02778997612,35.98419789,7,251.8893852,0,0,0,inf,0.5026345812
29,12640,197,0,0,0,0,1,0,0,0.001338874572,1.34E-06,0,0,0,0,0,0,inf,0.2401425376
30,12845,204,0,0,0,0,1,0,0,0.001250409288,1.25E-06,0,0,0,0,0,0,inf,0.07537880668
31,13074,228,-150,0,1,0,0,0,0,29.00131416,0.02900131416,34.48119607,3,103.4435882,0,0,0,inf,0.3677381923
32,13280,205,0,0,0,0,1,0,0,0.002258785535,2.26E-06,0,0,0,0,0,0,inf,3.602081481
33,13468,187,0,0,0,0,1,0,0,0.002126586623,2.13E-06,0,0,0,0,0,0,inf,0.4660086829
34,13676,207,0,0,0,0,1,0,0,0.01068665739,1.07E-05,0,0,0,0,0,0,inf,0.2796656111
35,13883,206,0,0,0,0,1,0,0,0.0005584676401,5.58E-07,0,0,0,0,0,0,inf,0.2993095372
36,14085,201,0,0,0,0,1,0,0,0.0004911978613,4.91E-07,0,0,0,0,0,0,inf,0.2783749191
37,14290,204,0,0,0,0,1,0,0,0.002087644534,2.09E-06,0,0,0,0,0,0,inf,0.3849245026
38,14800,509,-150,0,1,0,0,0,0,24.42003632,0.02442003632,40.94998005,10,409.4998005,0,0,0,inf,0.7722356687
39,15874,1073,-150,0,1,0,0,0,0,46.89167404,0.04689167404,21.32574749,25,533.1436873,0,0,0,inf,0.525669564
40,16466,591,0,0,0,0,1,0,0,30.78517151,0.03078517151,0,5,162.4158566,0,0,0,inf,0.3205966151
41,16667,200,0,0,0,0,1,0,0,0.001373446546,1.37E-06,0,0,0,0,0,0,inf,0.2401255441
42,17281,613,-150,0,1,0,0,0,0,24.80552292,0.02480552292,40.31360287,12,483.7632345,0,0,0,inf,0.5321739034
43,17491,209,0,0,0,0,1,0,0,0.000555254519,5.55E-07,0,0,0,0,0,0,inf,0.2993230626
44,18040,548,-150,0,1,0,0,0,0,24.57479095,0.02457479095,40.69210606,10,406.9210606,0,0,0,inf,0.7344842447
45,18264,223,0,0,0,0,1,0,0,0.002305775648,2.31E-06,0,0,0,0,0,0,inf,3.602140974
46,18466,201,0,0,0,0,1,0,0,0.01061731204,1.06E-05,0,0,0,0,0,0,inf,0.2787762997
47,19341,874,-150,0,1,0,0,0,0,40.05463791,0.04005463791,24.96589789,7,174.7612852,0,0,0,inf,0.3721495088
48,19540,198,0,0,0,0,1,0,0,0.000519314839,5.19E-07,0,0,0,0,0,0,inf,0.2783960857
49,20089,548,-150,0,1,0,0,0,0,23.17045975,0.02317045975,43.1584013,10,431.584013,0,0,0,inf,0.7723269127
50,20289,199,0,0,0,0,1,0,0,0.001342767966,1.34E-06,0,0,0,0,0,0,inf,0.2401511331
51,20495,205,0,0,0,0,1,0,0,0.002320031635,2.32E-06,0,0,0,0,0,0,inf,3.602171497
52,20696,200,0,0,0,0,1,0,0,0.002176151844,2.18E-06,0,0,0,0,0,0,inf,0.3849449232
53,21704,1007,-150,0,1,0,0,0,0,47.4203949,0.0474203949,21.08797285,19,400.6714841,0,0,0,inf,0.4355730677
54,22244,539,0,0,0,0,1,0,0,16.23934746,0.01623934746,0,4,246.315316,0,0,0,inf,0.4904484017
55,22440,195,0,0,0,0,1,0,0,0.0005655275891,5.66E-07,0,0,0,0,0,0,inf,0.2993212008
56,22642,201,0,0,0,0,1,0,0,0.0005029040622,5.03E-07,0,0,0,0,0,0,inf,0.2783983629
57,22848,205,0,0,0,0,1,0,0,0.01063291542,1.06E-05,0,0,0,0,0,0,inf,0.27985994
58,23576,727,-150,0,1,0,0,0,0,35.07085419,0.03507085419,28.51370527,7,199.5959369,0,0,0,inf,0.377399149
59,23785,208,0,0,0,0,1,0,0,0.001305209124,1.31E-06,0,0,0,0,0,0,inf,0.075345338
60,23993,207,0,0,0,0,1,0,0,0.9469438791,0.0009469438791,0,1,1056.028791,0,0,0,inf,0.6002181193
61,24196,202,0,0,0,0,1,0,0,0.0005578724667,5.58E-07,0,0,0,0,0,0,inf,0.2992840334
62,24409,212,0,0,0,0,1,0,0,0.002152821515,2.15E-06,0,0,0,0,0,0,inf,0.3850143618
63,24603,193,0,0,0,0,1,0,0,0.0106721269,1.07E-05,0,0,0,0,0,0,inf,0.2787813299
64,24818,214,-150,0,1,0,0,0,0,28.03568459,0.02803568459,35.6688276,3,107.0064828,0,0,0,inf,0.3747276274
65,25019,200,0,0,0,0,1,0,0,0.001988579752,1.99E-06,0,0,0,0,0,0,inf,0.4660246988
66,25435,415,-150,0,1,0,0,0,0,15.59498787,0.01559498787,64.12316626,1,64.12316626,0,0,0,inf,3.491032951
67,25634,198,0,0,0,0,1,0,0,0.000482846197,4.83E-07,0,0,0,0,0,0,inf,0.2783848454
68,25836,201,0,0,0,0,1,0,0,0.001357411733,1.36E-06,0,0,0,0,0,0,inf,0.2400865191
69,26385,548,-150,0,1,0,0,0,0,25.81800461,0.02581800461,38.73266022,10,387.3266022,0,0,0,inf,0.7649203618
70,27323,937,-150,0,1,0,0,0,0,36.99833679,0.03699833679,27.02824199,7,189.1976939,0,0,0,inf,0.3978232843
71,27522,198,0,0,0,0,1,0,0,0.0005049148458,5.05E-07,0,0,0,0,0,0,inf,0.2783485833
72,27742,219,-150,0,1,0,0,0,0,28.1192627,0.0281192627,35.56281012,6,213.3768607,0,0,0,inf,0.3276438295
73,27945,202,0,0,0,0,1,0,0,0.0005609755171,5.61E-07,0,0,0,0,0,0,inf,0.2992976047
74,28141,195,0,0,0,0,1,0,0,0.01065604761,1.07E-05,0,0,0,0,0,0,inf,0.2797286034
75,28622,480,-150,0,1,0,0,0,0,22.18036079,0.02218036079,45.08492938,7,315.5945057,0,0,0,inf,0.3097442179
76,28825,202,0,0,0,0,1,0,0,0.002099598292,2.10E-06,0,0,0,0,0,0,inf,0.4659200293
77,29018,192,0,0,0,0,1,0,0,0.002397710457,2.40E-06,0,0,0,0,0,0,inf,3.602168861
78,29219,200,0,0,0,0,1,0,0,0.002137858188,2.14E-06,0,0,0,0,0,0,inf,0.38488377
79,29999,779,0,0,0,0,1,0,0,17.84116554,0.01784116554,0,8,448.4011978,0,0,0,inf,0.7353580932
80,30199,199,0,0,0,0,1,0,0,0.001380341477,1.38E-06,0,0,0,0,0,0,inf,0.2402044973
81,30808,608,-150,0,1,0,0,0,0,27.68480873,0.02768480873,36.1208925,7,252.8462475,0,0,0,inf,0.2839722142
82,31012,203,0,0,0,0,1,0,0,0.9425367117,0.0009425367117,0,1,1060.966631,0,0,0,inf,0.5995305985
83,31231,218,-150,0,1,0,0,0,0,28.0862484,0.0280862484,35.60461283,3,106.8138385,0,0,0,inf,0.3860828415
84,31434,202,0,0,0,0,1,0,0,0.002042225329,2.04E-06,0,0,0,0,0,0,inf,0.4658675374
85,31624,189,0,0,0,0,1,0,0,0.002115048934,2.12E-06,0,0,0,0,0,0,inf,0.3849249533
86,33376,1751,0,0,0,0,1,0,0,54.76813126,0.05476813126,0,8,146.0703481,0,0,0,inf,1.546671518
87,33580,203,0,0,0,0,1,0,0,0.0004925927497,4.93E-07,0,0,0,0,0,0,inf,0.2783863804
88,33961,380,-150,0,1,0,0,0,0,15.75224972,0.01575224972,63.48299563,1,63.48299563,0,0,0,inf,3.430458727
89,34449,487,-150,0,1,0,0,0,0,23.56184578,0.02356184578,42.4414967,11,466.8564637,0,0,0,inf,0.7157087566
90,34794,344,-150,0,1,0,0,0,0,15.61662388,0.01561662388,64.034327,1,64.034327,0,0,0,inf,3.320950767
91,35001,206,0,0,0,0,1,0,0,0.001275618561,1.28E-06,0,0,0,0,0,0,inf,0.07538239018
92,35201,199,0,0,0,0,1,0,0,0.002091024537,2.09E-06,0,0,0,0,0,0,inf,0.4658915192
93,35690,488,0,0,0,0,1,0,0,17.03133011,0.01703133011,0,4,234.8612806,0,0,0,inf,0.4739601114
94,37691,2000,0,0,0,1,0,0,0,53.04159546,0.05304159546,0,8,150.8250257,0,0,0,inf,1.900368803
95,37898,206,0,0,0,0,1,0,0,0.00201394246,2.01E-06,0,0,0,0,0,0,inf,0.3848754729
96,38097,198,0,0,0,0,1,0,0,0.01061966084,1.06E-05,0,0,0,0,0,0,inf,0.2792282971
97,38691,593,-150,0,1,0,0,0,0,25.57612228,0.02557612228,39.09896852,5,195.4948426,0,0,0,inf,0.415354183
98,39862,1170,-150,0,1,0,0,0,0,48.13249588,0.04813249588,20.77598474,11,228.5358322,0,0,0,inf,0.5268067244
99,40073,210,0,0,0,0,1,0,0,0.9689453244,0.0009689453244,0,1,1032.049977,0,0,0,inf,0.6013215167
100,40277,203,0,0,0,0,1,0,0,0.002394899027,2.39E-06,0,0,0,0,0,0,inf,3.601965466
101,40478,200,0,0,0,0,1,0,0,0.0005039843381,5.04E-07,0,0,0,0,0,0,inf,0.278373282
102,40678,199,0,0,0,0,1,0,0,0.002046518959,2.05E-06,0,0,0,0,0,0,inf,0.4659123311
103,40877,198,0,0,0,0,1,0,0,0.001395755331,1.40E-06,0,0,0,0,0,0,inf,0.2401599969
104,41075,197,0,0,0,0,1,0,0,0.001311493805,1.31E-06,0,0,0,0,0,0,inf,0.07530959518
105,41275,199,0,0,0,0,1,0,0,0.01066375151,1.07E-05,0,0,0,0,0,0,inf,0.2798371026
106,41481,205,0,0,0,0,1,0,0,0.0005646779318,5.65E-07,0,0,0,0,0,0,inf,0.2993458432
107,41672,190,0,0,0,0,1,0,0,0.002137528034,2.14E-06,0,0,0,0,0,0,inf,0.3850571863
108,41894,221,-150,0,1,0,0,0,0,28.73449707,0.02873449707,34.80137472,3,104.4041242,0,0,0,inf,0.3782184195
