episode_index,env_step,length,return,success,collision,time_exceeded,not_moving,past_goal,out_of_lane,distance_m,distance_km,collisions_per_km,lane_invasions,lane_invasions_per_km,exceed,returned,overtaken,min_ego_lead_dist,mean_off_center_m
0,283,282,-150,0,1,0,0,0,0,35.49795151,0.03549795151,28.17063964,10,281.7063964,0,0,0,inf,0.2730543476
1,572,288,-150,0,1,0,0,0,0,60.21003342,0.06021003342,16.60852757,7,116.259693,0,0,0,inf,0.8345074783
2,692,119,-150,0,1,0,0,0,0,12.58348274,0.01258348274,79.46925509,3,238.4077653,0,0,0,inf,0.1092140461
3,2693,2000,0,0,0,1,0,0,0,66.39083862,0.06639083862,0,11,165.6855107,0,0,0,inf,0.5870592813
4,2909,215,-150,0,1,0,0,0,0,35.65759659,0.03565759659,28.04451493,8,224.3561195,0,0,0,inf,0.1454958713
5,4910,2000,0,0,0,1,0,0,0,23.91911316,0.02391911316,0,2,83.61514019,0,0,0,inf,0.5639414901
6,5026,115,-150,0,1,0,0,0,0,11.90353107,0.01190353107,84.00868564,4,336.0347425,0,0,0,inf,0.1143439267
7,5144,117,-150,0,1,0,0,0,0,12.0720787,0.0120720787,82.83577538,3,248.5073261,0,0,0,inf,0.1060264044
8,5419,274,-150,0,1,0,0,0,0,55.4479332,0.0554479332,18.03493732,9,162.3144359,0,0,0,inf,0.2120044409
9,5622,202,-150,0,1,0,0,0,0,31.84852982,0.03184852982,31.3986236,4,125.5944944,0,0,0,inf,0.3585979223
10,6129,506,0,0,0,0,1,0,0,0.005893903784,5.89E-06,0,0,0,0,0,0,inf,0.01419940637
11,6319,189,-150,0,1,0,0,0,0,28.54793358,0.02854793358,35.02880505,10,350.2880505,0,0,0,inf,0.1601463775
12,6736,416,-150,0,1,0,0,0,0,33.41902161,0.03341902161,29.92307829,4,119.6923132,0,0,0,inf,1.591006926
13,6853,116,-150,0,1,0,0,0,0,12.08304405,0.01208304405,82.76060202,3,248.2818061,0,0,0,inf,0.1028914476
14,8854,2000,0,0,0,1,0,0,0,23.4574585,0.0234574585,0,2,85.26072849,0,0,0,inf,0.3924846327
15,10855,2000,0,0,0,1,0,0,0,23.28409958,0.02328409958,0,8,343.5821073,0,0,0,inf,0.284526697
16,12856,2000,0,0,0,1,0,0,0,18.90791512,0.01890791512,0,16,846.2064645,0,0,0,inf,0.3169653863
17,13283,426,-150,0,1,0,0,0,0,69.64808655,0.06964808655,14.35789624,18,258.4421323,0,0,0,inf,0.4515376325
18,14679,1395,0,0,0,0,1,0,0,14.54202843,0.01454202843,0,5,343.8309879,0,0,0,inf,0.8062682486
19,14799,119,-150,0,1,0,0,0,0,12.62453365,0.01262453365,79.21084671,3,237.6325401,0,0,0,inf,0.1015748146
20,15174,374,-150,0,1,0,0,0,0,51.09818268,0.05109818268,19.57016762,7,136.9911733,0,0,0,inf,0.2168986047
21,15460,285,-150,0,1,0,0,0,0,60.26602936,0.06026602936,16.59309582,13,215.7102457,0,0,0,inf,0.3071359837
22,15946,485,0,0,0,0,1,0,0,0.005904775579,5.90E-06,0,0,0,0,0,0,inf,0.01349324111
23,16194,247,-150,0,1,0,0,0,0,45.58653641,0.04558653641,21.93630135,11,241.2993148,0,0,0,inf,0.2847365774
24,16466,271,-150,0,1,0,0,0,0,54.73086929,0.05473086929,18.2712245,10,182.712245,0,0,0,inf,0.1995299265
25,18467,2000,0,0,0,1,0,0,0,24.66499138,0.02466499138,0,2,81.08658825,0,0,0,inf,0.3193476042
26,18590,122,-150,0,1,0,0,0,0,13.11792564,0.01311792564,76.23156489,4,304.9262596,0,0,0,inf,0.1275770874
27,20591,2000,0,0,0,1,0,0,0,21.93585777,0.02193585777,0,4,182.3498329,0,0,0,inf,0.4987626121
28,20715,123,-150,0,1,0,0,0,0,13.40377522,0.01340377522,74.60584678,4,298.4233871,0,0,0,inf,0.1335189717
29,21524,808,0,0,0,0,1,0,0,21.77703857,0.02177703857,0,2,91.83985202,0,0,0,inf,0.153551597
30,21786,261,-150,0,1,0,0,0,0,51.44854736,0.05144854736,19.43689475,11,213.8058422,0,0,0,inf,0.1703062421
31,22593,806,-150,0,1,0,0,0,0,38.89694595,0.03889694595,25.70895929,15,385.6343893,0,0,0,inf,0.5079516512
32,22798,204,-150,0,1,0,0,0,0,32.07862854,0.03207862854,31.17340253,8,249.3872202,0,0,0,inf,0.269501881
33,22924,125,-150,0,1,0,0,0,0,13.79133034,0.01379133034,72.50932111,5,362.5466056,0,0,0,inf,0.1300807503
34,24925,2000,0,0,0,1,0,0,0,22.25096512,0.02225096512,0,2,89.88374164,0,0,0,inf,0.2771918389
35,25192,266,-150,0,1,0,0,0,0,53.50385666,0.05350385666,18.69024146,14,261.6633804,0,0,0,inf,0.1984965376
36,26297,1104,-150,0,1,0,0,0,0,17.03443718,0.01703443718,58.70461052,7,410.9322736,0,0,0,inf,0.5628743399
37,28298,2000,0,0,0,1,0,0,0,20.82125282,0.02082125282,0,6,288.1670979,0,0,0,inf,0.3482395425
38,28508,209,-150,0,1,0,0,0,0,29.96604729,0.02996604729,33.37110131,8,266.9688105,0,0,0,inf,0.270778718
39,29551,1042,0,0,0,0,1,0,0,24.17220306,0.02417220306,0,6,248.218997,0,0,0,inf,0.1755556399
40,31155,1603,0,0,0,0,1,0,0,19.79725266,0.01979725266,0,10,505.120593,0,0,0,inf,0.2113772966
41,31365,209,-150,0,1,0,0,0,0,33.94553757,0.03394553757,29.45895313,10,294.5895313,0,0,0,inf,0.233476528
42,31496,130,-150,0,1,0,0,0,0,14.80506802,0.01480506802,67.54443809,5,337.7221904,0,0,0,inf,0.1439186585
43,31699,202,-150,0,1,0,0,0,0,31.82006645,0.03182006645,31.42670998,4,125.7068399,0,0,0,inf,0.377779799
44,31831,131,-150,0,1,0,0,0,0,14.95491409,0.01495491409,66.86765258,6,401.2059155,0,0,0,inf,0.1456203325
45,32067,235,-150,0,1,0,0,0,0,41.6062355,0.0416062355,24.03485891,8,192.2788713,0,0,0,inf,0.1719090676
46,34068,2000,0,0,0,1,0,0,0,23.92070389,0.02392070389,0,2,83.60957978,0,0,0,inf,0.3373536252
47,34201,132,-150,0,1,0,0,0,0,15.25623226,0.01525623226,65.54698322,8,524.3758657,0,0,0,inf,0.1452560112
48,35524,1322,0,0,0,0,1,0,0,31.07460022,0.03107460022,0,10,321.8062318,0,0,0,inf,0.5030458429
49,35709,184,-150,0,1,0,0,0,0,23.04550362,0.02304550362,43.39241254,10,433.9241254,0,0,0,inf,0.248588854
50,37710,2000,0,0,0,1,0,0,0,21.63709831,0.02163709831,0,2,92.43383614,0,0,0,inf,0.1737314164
51,39608,1897,0,0,0,0,1,0,0,19.60101318,0.01960101318,0,1,51.0177709,0,0,0,inf,0.1944812317
52,39891,282,-150,0,1,0,0,0,0,59.2204628,0.0592204628,16.88605514,14,236.4047719,0,0,0,inf,0.2598268069
53,40103,211,-150,0,1,0,0,0,0,35.0291481,0.0350291481,28.547654,7,199.833578,0,0,0,inf,0.0571424139
54,40237,133,-150,0,1,0,0,0,0,15.53900146,0.01553900146,64.35419948,6,386.1251969,0,0,0,inf,0.1377361948
55,42238,2000,0,0,0,1,0,0,0,21.8470993,0.0218470993,0,4,183.0906677,0,0,0,inf,0.3310951813
56,42375,136,-150,0,1,0,0,0,0,16.15142822,0.01615142822,61.91402929,5,309.5701464,0,0,0,inf,0.1426218004
57,43137,761,0,0,0,0,1,0,0,9.811872482,0.009811872482,0,0,0,0,0,0,inf,0.2259245938
58,43459,321,-150,0,1,0,0,0,0,68.33901978,0.06833901978,14.63292864,19,278.0256442,0,0,0,inf,0.2966206591
59,43747,287,-150,0,1,0,0,0,0,61.27735138,0.06127735138,16.3192432,12,195.8309184,0,0,0,inf,0.2477164394
