episode_index,env_step,length,return,success,collision,time_exceeded,not_moving,past_goal,out_of_lane,distance_m,distance_km,collisions_per_km,lane_invasions,lane_invasions_per_km,exceed,returned,overtaken,min_ego_lead_dist,mean_off_center_m
0,490,489,0,0,0,0,1,0,0,0.002371202921,2.37E-06,0,0,0,0,0,0,inf,3.60223817
1,2159,1668,0,0,0,0,1,0,0,23.21261406,0.02321261406,0,4,172.320101,0,0,0,inf,0.7534324453
2,3313,1153,-150,0,1,0,0,0,0,55.20335007,0.05520335007,18.11484265,8,144.9187412,0,0,0,inf,0.6685009049
3,3877,563,-150,0,1,0,0,0,0,29.32365227,0.02932365227,34.10216404,7,238.7151483,0,0,0,inf,0.3307221918
4,5878,2000,0,0,0,1,0,0,0,56.35975266,0.05635975266,0,8,141.9452645,0,0,0,inf,2.152631534
5,7879,2000,0,0,0,1,0,0,0,26.18782616,0.02618782616,0,10,381.8568193,0,0,0,inf,1.604054214
6,8326,446,-150,0,1,0,0,0,0,21.73776436,0.02173776436,46.0028908,12,552.0346896,0,0,0,inf,0.4769181334
7,8833,506,-150,0,1,0,0,0,0,22.55044556,0.02255044556,44.34502181,11,487.7952399,0,0,0,inf,0.8267992484
8,9853,1019,-150,0,1,0,0,0,0,47.49534607,0.04749534607,21.05469447,22,463.2032782,0,0,0,inf,0.5965945579
9,10396,542,-150,0,1,0,0,0,0,25.78406143,0.02578406143,38.78364945,10,387.8364945,0,0,0,inf,0.7342861785
10,12397,2000,0,0,0,1,0,0,0,26.51004982,0.02651004982,0,7,264.0508052,0,0,0,inf,1.350971713
11,12885,487,0,0,0,0,1,0,0,0.002405009,2.41E-06,0,0,0,0,0,0,inf,3.602165665
12,13385,499,-150,0,1,0,0,0,0,24.21014595,0.02421014595,41.30499676,7,289.1349773,0,0,0,inf,0.3357415394
13,14632,1246,1000,1,0,0,0,0,0,46.36796188,0.04636796188,0,19,409.7656923,0,0,0,inf,0.5886154284
14,16633,2000,0,0,0,1,0,0,0,55.66985321,0.05566985321,0,8,143.7043487,0,0,0,inf,1.676388986
15,17533,899,800,1,0,0,0,0,0,41.27907181,0.04127907181,0,3,72.67605275,0,0,0,inf,0.2471993924
16,18778,1244,0,0,0,0,0,1,0,70.32160187,0.07032160187,0,8,113.7630513,0,0,0,inf,2.211779509
17,18991,212,-150,0,1,0,0,0,0,28.11157799,0.02811157799,35.57253173,4,142.2901269,0,0,0,inf,0.3693513228
18,19621,629,-150,0,1,0,0,0,0,32.71987152,0.03271987152,30.5624672,12,366.7496063,0,0,0,inf,0.5540527807
19,20236,614,-150,0,1,0,0,0,0,23.02975273,0.02302975273,43.42209018,5,217.1104509,0,0,0,inf,0.4635293459
20,21752,1515,0,0,0,0,1,0,0,25.11535072,0.02511535072,0,7,278.7140055,0,0,0,inf,1.395867214
21,22261,508,-150,0,1,0,0,0,0,22.38222885,0.02238222885,44.67830289,10,446.7830289,0,0,0,inf,0.8707359671
22,22737,475,0,0,0,0,1,0,0,0.002173664514,2.17E-06,0,0,0,0,0,0,inf,3.602096407
23,23900,1162,-150,0,1,0,0,0,0,47.8011322,0.0478011322,20.92000658,21,439.3201381,0,0,0,inf,0.5727796682
24,24388,487,0,0,0,0,1,0,0,0.001338250586,1.34E-06,0,0,0,0,0,0,inf,0.2401283186
25,24870,481,0,0,0,0,1,0,0,0.001268653315,1.27E-06,0,0,0,0,0,0,inf,0.07537792803
26,26871,2000,0,0,0,1,0,0,0,41.8081665,0.0418081665,0,6,143.5126317,0,0,0,inf,0.8351902001
27,27360,488,0,0,0,0,1,0,0,0.00209108647,2.09E-06,0,0,0,0,0,0,inf,0.3848611747
28,29361,2000,0,0,0,1,0,0,0,55.80869293,0.05580869293,0,8,143.346844,0,0,0,inf,2.392316239
29,29840,478,0,0,0,0,1,0,0,0.002068644157,2.07E-06,0,0,0,0,0,0,inf,0.4658362801
30,30492,651,-150,0,1,0,0,0,0,24.9129715,0.0249129715,40.13973203,14,561.9562485,0,0,0,inf,0.4137463956
31,32493,2000,0,0,0,1,0,0,0,56.93184662,0.05693184662,0,8,140.5188919,0,0,0,inf,1.417662529
