episode_index,env_step,length,return,success,collision,time_exceeded,not_moving,past_goal,out_of_lane,distance_m,distance_km,collisions_per_km,lane_invasions,lane_invasions_per_km,exceed,returned,overtaken,min_ego_lead_dist,mean_off_center_m
0,340,339,800,1,0,0,0,0,0,47.20921326,0.04720921326,0,0,0,0,0,0,inf,0.04849345347
1,665,324,600,1,0,0,0,0,0,84.11824799,0.08411824799,0,2,23.77605392,0,0,0,inf,0.08480959069
2,1159,493,800,1,0,0,0,0,0,66.54885864,0.06654885864,0,2,30.05310746,0,0,0,inf,0.06907836394
3,1650,490,800,1,0,0,0,0,0,66.6479187,0.0666479187,0,4,60.01687792,0,0,0,inf,0.06108841722
4,1976,325,600,1,0,0,0,0,0,84.20666504,0.08420666504,0,4,47.5021781,0,0,0,inf,0.08660251364
5,2325,348,200,1,0,0,0,0,0,67.61019135,0.06761019135,0,3,44.37200872,0,0,0,inf,0.08610407982
6,2663,337,800,1,0,0,0,0,0,47.23432922,0.04723432922,0,0,0,0,0,0,inf,0.04609488549
7,3151,487,600,1,0,0,0,0,0,66.56539154,0.06656539154,0,2,30.04564314,0,0,0,inf,0.068044293
8,3490,338,800,1,0,0,0,0,0,47.08538818,0.04708538818,0,0,0,0,0,0,inf,0.04652378734
9,3836,345,400,1,0,0,0,0,0,67.548172,0.067548172,0,2,29.60849925,0,0,0,inf,0.09056983111
10,4163,326,400,0,0,0,0,1,0,84.0076828,0.0840076828,0,4,47.61469269,0,0,0,inf,0.0799549307
11,4512,348,400,1,0,0,0,0,0,67.56214905,0.06756214905,0,1,14.80118697,0,0,0,inf,0.08304834456
12,4863,350,600,1,0,0,0,0,0,84.05252838,0.08405252838,0,4,47.58928823,0,0,0,inf,0.08427498894
13,5205,341,800,1,0,0,0,0,0,47.25017929,0.04725017929,0,0,0,0,0,0,inf,0.04996411859
14,5685,479,800,1,0,0,0,0,0,66.56331635,0.06656331635,0,2,30.04657986,0,0,0,inf,0.06371128437
15,6033,347,200,1,0,0,0,0,0,67.36043549,0.06736043549,0,4,59.38203889,0,0,0,inf,0.08733215111
16,6360,326,600,1,0,0,0,0,0,84.19834137,0.08419834137,0,4,47.50687407,0,0,0,inf,0.09472990974
17,6859,498,800,1,0,0,0,0,0,66.65133667,0.06665133667,0,2,30.00690009,0,0,0,inf,0.0541920657
18,7199,339,800,1,0,0,0,0,0,47.24385834,0.04724385834,0,0,0,0,0,0,inf,0.04749999679
19,7545,345,200,1,0,0,0,0,0,67.38805389,0.06738805389,0,1,14.83942542,0,0,0,inf,0.08694841691
20,7888,342,800,1,0,0,0,0,0,47.18246078,0.04718246078,0,0,0,0,0,0,inf,0.0521847139
21,8377,488,800,1,0,0,0,0,0,66.49333191,0.06649333191,0,0,0,0,0,0,inf,0.06010478664
22,8728,350,600,1,0,0,0,0,0,84.07975006,0.08407975006,0,4,47.57388072,0,0,0,inf,0.08607770885
23,9081,352,200,1,0,0,0,0,0,67.55640411,0.06755640411,0,3,44.40733694,0,0,0,inf,0.08319666685
24,9408,326,600,1,0,0,0,0,0,84.05118561,0.08405118561,0,4,47.59004851,0,0,0,inf,0.0906084976
25,9744,335,800,1,0,0,0,0,0,47.084198,0.047084198,0,0,0,0,0,0,inf,0.0491932476
26,10222,477,600,1,0,0,0,0,0,66.56803894,0.06656803894,0,4,60.08889647,0,0,0,inf,0.05965073415
27,10558,335,600,1,0,0,0,0,0,47.08053589,0.04708053589,0,0,0,0,0,0,inf,0.04472476226
28,10894,335,200,1,0,0,0,0,0,67.43424988,0.06743424988,0,3,44.48777892,0,0,0,inf,0.08024432668
29,11370,475,800,1,0,0,0,0,0,66.48496246,0.06648496246,0,0,0,0,0,0,inf,0.06280602323
30,11721,350,600,1,0,0,0,0,0,84.17678833,0.08417678833,0,6,71.27855694,0,0,0,inf,0.07962437096
31,12069,347,800,1,0,0,0,0,0,84.22341156,0.08422341156,0,4,47.49273303,0,0,0,inf,0.07230115882
32,12561,491,800,1,0,0,0,0,0,66.55622864,0.06655622864,0,2,30.04977958,0,0,0,inf,0.06003868758
