episode_index,env_step,length,return,success,collision,time_exceeded,not_moving,past_goal,out_of_lane,distance_m,distance_km,collisions_per_km,lane_invasions,lane_invasions_per_km,exceed,returned,overtaken,min_ego_lead_dist,mean_off_center_m
0,223,222,-150,0,1,0,0,0,0,41.83285522,0.04183285522,23.90465567,2,47.80931135,0,0,0,inf,0.3001795548
1,546,322,-150,0,1,0,0,0,0,40.79197693,0.04079197693,24.51462457,9,220.6316212,0,0,0,inf,0.9135063708
2,694,147,-150,0,1,0,0,0,0,15.58129311,0.01558129311,64.17952561,1,64.17952561,0,0,0,inf,3.517597763
3,1918,1223,400,1,0,0,0,0,0,181.245285,0.181245285,0,2,11.03476981,0,0,0,inf,0.283231784
4,2199,280,600,1,0,0,0,0,0,41.46844482,0.04146844482,0,0,0,0,0,0,inf,0.1962773321
5,2719,519,0,0,0,0,1,0,0,0.002082949504,2.08E-06,0,0,0,0,0,0,inf,0.3849123925
6,3212,492,0,0,0,0,1,0,0,0.001332473359,1.33E-06,0,0,0,0,0,0,inf,0.2401356024
7,3921,708,400,1,0,0,0,0,0,159.5319214,0.1595319214,0,0,0,0,0,0,inf,0.3298278615
8,4226,304,400,1,0,0,0,0,0,61.620224,0.061620224,0,0,0,0,0,0,inf,0.1336676807
9,4370,143,-150,0,1,0,0,0,0,15.73651028,0.01573651028,63.54649045,1,63.54649045,0,0,0,inf,3.450575453
10,5765,1394,600,1,0,0,0,0,0,181.2351532,0.1812351532,0,2,11.0353867,0,0,0,inf,0.2433049461
11,6127,361,-150,0,1,0,0,0,0,41.22078323,0.04122078323,24.25960696,1,24.25960696,0,0,0,inf,0.3586731351
12,6453,325,600,1,0,0,0,0,0,41.49835968,0.04149835968,0,0,0,0,0,0,inf,0.1867144061
13,6967,513,0,0,0,0,1,0,0,0.001332473359,1.33E-06,0,0,0,0,0,0,inf,0.2401353044
14,7425,457,1000,1,0,0,0,0,0,46.19908524,0.04619908524,0,3,64.93635068,0,0,0,inf,0.2425543582
15,8216,790,600,1,0,0,0,0,0,159.5059509,0.1595059509,0,0,0,0,0,0,inf,0.3247548619
16,8663,446,800,1,0,0,0,0,0,61.69332886,0.06169332886,0,0,0,0,0,0,inf,0.1634294554
17,8990,326,-150,0,1,0,0,0,0,46.11822128,0.04611822128,21.68340348,12,260.2008418,0,0,0,inf,1.084013731
18,9498,507,0,0,0,0,1,0,0,0.002114997245,2.11E-06,0,0,0,0,0,0,inf,0.384812477
19,10245,746,-150,0,1,0,0,0,0,46.1882019,0.0461882019,21.65055055,9,194.8549549,0,0,0,inf,2.106918803
20,10705,459,600,1,0,0,0,0,0,61.61894226,0.06161894226,0,0,0,0,0,0,inf,0.1475139721
21,11226,520,0,0,0,0,1,0,0,0.002075952711,2.08E-06,0,0,0,0,0,0,inf,0.3851029002
22,11492,265,200,1,0,0,0,0,0,41.4606514,0.0414606514,0,0,0,0,0,0,inf,0.1889988576
23,11848,355,800,1,0,0,0,0,0,46.22808838,0.04622808838,0,2,43.26374008,0,0,0,inf,0.2471297895
24,12703,854,400,1,0,0,0,0,0,159.3891602,0.1593891602,0,0,0,0,0,0,inf,0.3189079944
25,12849,145,-150,0,1,0,0,0,0,15.67916203,0.01567916203,63.77891869,1,63.77891869,0,0,0,inf,3.500555237
26,13354,504,0,0,0,0,1,0,0,0.001332505839,1.33E-06,0,0,0,0,0,0,inf,0.2401353385
27,13576,221,-150,0,1,0,0,0,0,41.40864182,0.04140864182,24.14954841,1,24.14954841,0,0,0,inf,0.3003071683
28,14868,1291,400,1,0,0,0,0,0,181.2671356,0.1812671356,0,4,22.06687928,0,0,0,inf,0.272105897
29,15014,145,-150,0,1,0,0,0,0,15.5908165,0.0155908165,64.14032261,1,64.14032261,0,0,0,inf,3.524703358
30,15512,497,0,0,0,0,1,0,0,0.00209995755,2.10E-06,0,0,0,0,0,0,inf,0.3848863285
31,16290,777,400,1,0,0,0,0,0,159.3501892,0.1593501892,0,0,0,0,0,0,inf,0.3278476116
