episode_index,env_step,length,return,success,collision,time_exceeded,not_moving,past_goal,out_of_lane,distance_m,distance_km,collisions_per_km,lane_invasions,lane_invasions_per_km,exceed,returned,overtaken,min_ego_lead_dist,mean_off_center_m
0,537,536,10459.63291,1,0,0,0,0,0,69.43872833,0.06943872833,0,3,43.20355617,0,0,0,inf,0.08019202154
1,1466,928,8708.96247,1,0,0,0,0,0,66.69659424,0.06669659424,0,3,44.97980795,0,0,0,inf,0.0981202557
2,1862,395,12308.56962,0,0,0,0,1,0,82.62521362,0.08262521362,0,0,0,0,0,0,inf,0.07977165405
3,2743,880,9201.751404,1,0,0,0,0,0,66.62069702,0.06662069702,0,2,30.02070061,0,0,0,inf,0.09567875945
4,3220,476,7340.587278,1,0,0,0,0,0,49.04019928,0.04904019928,0,0,0,0,0,0,inf,0.04729917948
5,3625,404,11881.59054,0,0,0,0,1,0,82.2870636,0.0822870636,0,0,0,0,0,0,inf,0.08842980793
6,4191,565,10492.2626,1,0,0,0,0,0,70.40046692,0.07040046692,0,1,14.20445125,0,0,0,inf,0.08052577753
7,5080,888,8629.595322,1,0,0,0,0,0,66.6947403,0.0666947403,0,8,119.9494887,0,0,0,inf,0.1191380372
8,5630,549,10431.53822,1,0,0,0,0,0,69.29842377,0.06929842377,0,3,43.29102795,0,0,0,inf,0.08333442954
9,6076,445,7393.054127,1,0,0,0,0,0,48.36434555,0.04836434555,0,0,0,0,0,0,inf,0.04722832648
10,6479,402,12128.36937,0,0,0,0,1,0,82.59126282,0.08259126282,0,0,0,0,0,0,inf,0.08432383019
11,7428,948,8859.053235,1,0,0,0,0,0,66.66274261,0.06666274261,0,2,30.00176593,0,0,0,inf,0.09409027851
12,7894,465,7360.922776,1,0,0,0,0,0,48.50986099,0.04850986099,0,0,0,0,0,0,inf,0.04905988448
13,8387,492,10694.72478,1,0,0,0,0,0,69.03681946,0.06903681946,0,1,14.48502419,0,0,0,inf,0.07294489377
14,8784,396,12089.52418,0,0,0,0,1,0,82.88690186,0.08288690186,0,2,24.12926476,0,0,0,inf,0.07622142833
15,9658,873,8774.182938,1,0,0,0,0,0,66.62332153,0.06662332153,0,6,90.058554,0,0,0,inf,0.1218617402
16,10059,400,12069.79122,0,0,0,0,1,0,82.76132202,0.08276132202,0,2,24.16587787,0,0,0,inf,0.07312834952
17,10618,558,10426.71411,1,0,0,0,0,0,68.92604065,0.06892604065,0,3,43.52491412,0,0,0,inf,0.08025322293
18,11070,451,7308.170441,1,0,0,0,0,0,47.67198181,0.04767198181,0,0,0,0,0,0,inf,0.05200844659
19,11478,407,12159.42892,0,0,0,0,1,0,82.60528564,0.08260528564,0,0,0,0,0,0,inf,0.06921877228
20,11981,502,10585.44097,1,0,0,0,0,0,69.2310791,0.0692310791,0,2,28.88875959,0,0,0,inf,0.07826709353
21,12466,484,7300.44945,1,0,0,0,0,0,48.39199066,0.04839199066,0,0,0,0,0,0,inf,0.05128537997
22,13518,1051,8309.534336,1,0,0,0,0,0,66.59650421,0.06659650421,0,2,30.03160637,0,0,0,inf,0.1070143723
23,13921,402,12020.1304,0,0,0,0,1,0,82.2896347,0.0822896347,0,0,0,0,0,0,inf,0.085939323
24,14927,1005,8046.962531,1,0,0,0,0,0,66.64413452,0.06664413452,0,4,60.02028579,0,0,0,inf,0.1259895363
25,15421,493,7237.543088,1,0,0,0,0,0,47.67182922,0.04767182922,0,0,0,0,0,0,inf,0.05072650174
26,15946,524,10418.16397,1,0,0,0,0,0,70.84724426,0.07084724426,0,6,84.68925027,0,0,0,inf,0.07965631664
27,16867,920,8967.785736,1,0,0,0,0,0,66.64599609,0.06664599609,0,2,30.00930464,0,0,0,inf,0.09349302441
28,17344,476,7288.047837,1,0,0,0,0,0,48.158535,0.048158535,0,0,0,0,0,0,inf,0.05276599068
29,17826,481,10463.06836,1,0,0,0,0,0,70.01106262,0.07001106262,0,6,85.70074179,0,0,0,inf,0.07441336411
30,18235,408,12316.82648,0,0,0,0,1,0,82.84751129,0.08284751129,0,0,0,0,0,0,inf,0.08008235371
31,18788,552,10345.97366,1,0,0,0,0,0,70.07528687,0.07007528687,0,7,99.89256289,0,0,0,inf,0.0809293733
32,19201,412,12288.61547,0,0,0,0,1,0,82.64810944,0.08264810944,0,0,0,0,0,0,inf,0.08055550148
33,20094,892,8324.938752,1,0,0,0,0,0,66.71569824,0.06671569824,0,8,119.911808,0,0,0,inf,0.1384914282
34,20577,482,7261.806348,1,0,0,0,0,0,48.2865715,0.0482865715,0,0,0,0,0,0,inf,0.05442563199
35,21091,513,7235.230408,1,0,0,0,0,0,48.13352203,0.04813352203,0,0,0,0,0,0,inf,0.04645912939
36,21586,494,10617.57823,1,0,0,0,0,0,68.97021484,0.06897021484,0,2,28.99802479,0,0,0,inf,0.07948871297
37,22489,902,8893.828032,1,0,0,0,0,0,66.67851257,0.06667851257,0,6,89.98401087,0,0,0,inf,0.1135616851
38,22895,405,12307.91683,0,0,0,0,1,0,82.75679779,0.08275679779,0,0,0,0,0,0,inf,0.07917072281
