episode_index,env_step,length,return,success,collision,time_exceeded,not_moving,past_goal,out_of_lane,distance_m,distance_km,collisions_per_km,lane_invasions,lane_invasions_per_km,exceed,returned,overtaken,min_ego_lead_dist,mean_off_center_m
0,414,413,12058.84137,0,0,0,0,1,0,82.58265686,0.08258265686,0,0,0,0,0,0,inf,0.08469566683
1,1263,848,9138.49144,1,0,0,0,0,0,66.56755066,0.06656755066,0,2,30.04466861,0,0,0,inf,0.1021772171
2,1794,530,10548.76531,1,0,0,0,0,0,69.81161499,0.06981161499,0,3,42.97279185,0,0,0,inf,0.07607292306
3,2241,446,7380.561387,1,0,0,0,0,0,47.86250305,0.04786250305,0,0,0,0,0,0,inf,0.04661084503
4,2658,416,12229.05559,0,0,0,0,1,0,82.58921051,0.08258921051,0,0,0,0,0,0,inf,0.08633573235
5,3198,539,10467.31353,1,0,0,0,0,0,70.12937164,0.07012937164,0,3,42.77808185,0,0,0,inf,0.0790433554
6,5199,2000,-13546.21262,0,0,1,0,0,0,79.92559814,0.07992559814,0,9,112.604725,0,0,0,inf,0.2234004263
7,5789,589,10419.11657,1,0,0,0,0,0,69.14666748,0.06914666748,0,3,43.38603883,0,0,0,inf,0.0785604366
8,6251,461,7289.574001,1,0,0,0,0,0,47.82068634,0.04782068634,0,0,0,0,0,0,inf,0.05300982482
9,6658,406,12216.55856,0,0,0,0,1,0,82.51041412,0.08251041412,0,0,0,0,0,0,inf,0.07952265133
10,7589,930,8767.387657,1,0,0,0,0,0,66.6807785,0.0666807785,0,2,29.99365102,0,0,0,inf,0.1145417238
11,8017,427,7436.340332,1,0,0,0,0,0,47.94717789,0.04794717789,0,0,0,0,0,0,inf,0.04480243799
12,9460,1442,6411.239151,1,0,0,0,0,0,68.081604,0.068081604,0,4,58.75302233,0,0,0,inf,0.1175474609
13,9980,519,10529.90275,1,0,0,0,0,0,69.00032043,0.06900032043,0,3,43.47805896,0,0,0,inf,0.0862284714
14,10388,407,12202.30694,0,0,0,0,1,0,82.65763092,0.08265763092,0,0,0,0,0,0,inf,0.07460172437
15,10788,399,12241.76406,0,0,0,0,1,0,82.51722717,0.08251722717,0,0,0,0,0,0,inf,0.07983919778
16,11298,509,10566.26806,1,0,0,0,0,0,69.09328461,0.06909328461,0,1,14.47318659,0,0,0,inf,0.07959121006
17,11794,495,7251.661056,1,0,0,0,0,0,47.8837738,0.0478837738,0,0,0,0,0,0,inf,0.04871513213
18,12975,1180,6568.62795,1,0,0,0,0,0,69.03249359,0.06903249359,0,11,159.3452507,0,0,0,inf,0.1303659781
19,13457,481,10631.58925,1,0,0,0,0,0,70.17763519,0.07017763519,0,5,71.24776984,0,0,0,inf,0.07566464015
20,13958,500,7142.796137,1,0,0,0,0,0,48.02222061,0.04802222061,0,0,0,0,0,0,inf,0.05969924377
21,14828,869,8949.643682,1,0,0,0,0,0,66.56234741,0.06656234741,0,2,30.04701724,0,0,0,inf,0.1061037182
22,15230,401,12207.03703,0,0,0,0,1,0,82.61475372,0.08261475372,0,0,0,0,0,0,inf,0.07647761415
23,15775,544,10518.3506,1,0,0,0,0,0,70.08263397,0.07008263397,0,2,28.53774019,0,0,0,inf,0.07819967072
24,16238,462,7334.378091,1,0,0,0,0,0,47.81942749,0.04781942749,0,0,0,0,0,0,inf,0.04789987524
25,18239,2000,-786.4202323,0,0,1,0,0,0,57.19540787,0.05719540787,0,6,104.9035268,0,0,0,inf,0.121411549
26,18639,399,12153.83302,0,0,0,0,1,0,83.01068878,0.08301068878,0,2,24.0932828,0,0,0,inf,0.08462839477
27,19564,924,9103.580632,1,0,0,0,0,0,66.64276123,0.06664276123,0,2,30.01076131,0,0,0,inf,0.08514776746
28,19969,404,12107.91735,0,0,0,0,1,0,82.53275299,0.08253275299,0,0,0,0,0,0,inf,0.08178993528
29,20493,523,10560.7503,1,0,0,0,0,0,69.22188568,0.06922188568,0,2,28.89259633,0,0,0,inf,0.0783734349
30,20954,460,7351.296011,1,0,0,0,0,0,47.83996582,0.04783996582,0,0,0,0,0,0,inf,0.04648329022
31,21355,400,12146.10951,0,0,0,0,1,0,82.60905457,0.08260905457,0,0,0,0,0,0,inf,0.08415446652
32,21844,488,7311.483176,1,0,0,0,0,0,48.59592056,0.04859592056,0,0,0,0,0,0,inf,0.04557355204
33,22352,507,10444.78619,1,0,0,0,0,0,69.94371033,0.06994371033,0,5,71.4860561,0,0,0,inf,0.07925800151
34,23144,791,9292.155364,1,0,0,0,0,0,66.67153931,0.06667153931,0,2,29.99780747,0,0,0,inf,0.1015628314
35,23570,425,7402.200379,1,0,0,0,0,0,47.89908218,0.04789908218,0,0,0,0,0,0,inf,0.0489771695
36,24399,828,9302.168902,1,0,0,0,0,0,66.69747162,0.06669747162,0,2,29.98614417,0,0,0,inf,0.08805702007
37,24802,402,11908.40923,0,0,0,0,1,0,82.41744232,0.08241744232,0,0,0,0,0,0,inf,0.08887124738
38,25299,496,10613.41147,1,0,0,0,0,0,69.13880157,0.06913880157,0,3,43.39097485,0,0,0,inf,0.07625388232
39,25835,535,10520.10974,1,0,0,0,0,0,69.94528198,0.06994528198,0,3,42.89066989,0,0,0,inf,0.07571316145
40,26237,401,11881.04061,0,0,0,0,1,0,82.33527374,0.08233527374,0,2,24.29092549,0,0,0,inf,0.07846678842
41,27159,921,8498.67547,1,0,0,0,0,0,66.59529877,0.06659529877,0,4,60.06429994,0,0,0,inf,0.1235979457
42,27631,471,7288.336905,1,0,0,0,0,0,48.04929733,0.04804929733,0,0,0,0,0,0,inf,0.0517109564
43,28143,511,7117.551946,1,0,0,0,0,0,47.63442993,0.04763442993,0,0,0,0,0,0,inf,0.06125772034
44,29351,1207,7753.433732,1,0,0,0,0,0,67.6873703,0.0676873703,0,2,29.54760971,0,0,0,inf,0.09056395395
45,29761,409,12293.83071,0,0,0,0,1,0,82.98140717,0.08298140717,0,0,0,0,0,0,inf,0.0814217933
46,30284,522,10356.21643,1,0,0,0,0,0,69.6907196,0.0696907196,0,7,100.4437899,0,0,0,inf,0.08473242632
47,30685,400,12109.9118,0,0,0,0,1,0,82.63804626,0.08263804626,0,0,0,0,0,0,inf,0.07436369751
48,31704,1018,8673.098869,1,0,0,0,0,0,66.59422302,0.06659422302,0,2,30.0326351,0,0,0,inf,0.1003376721
49,32195,490,10601.50493,1,0,0,0,0,0,68.67095184,0.06867095184,0,0,0,0,0,0,inf,0.07975401136
50,32657,461,7270.016869,1,0,0,0,0,0,47.55635834,0.04755635834,0,0,0,0,0,0,inf,0.05664442208
51,33067,409,12152.00061,0,0,0,0,1,0,82.88695526,0.08288695526,0,0,0,0,0,0,inf,0.08842006763
52,33561,493,10564.12055,1,0,0,0,0,0,68.86801147,0.06886801147,0,3,43.56158884,0,0,0,inf,0.08330614529
53,34008,446,7385.589864,1,0,0,0,0,0,48.10421371,0.04810421371,0,0,0,0,0,0,inf,0.04896583415
54,34908,899,8760.858502,1,0,0,0,0,0,66.66936493,0.06666936493,0,8,119.9951433,0,0,0,inf,0.1009819577
55,35426,517,10565.5901,1,0,0,0,0,0,68.87239838,0.06887239838,0,3,43.55881414,0,0,0,inf,0.0766191204
56,36277,850,9092.326431,1,0,0,0,0,0,66.64382172,0.06664382172,0,2,30.01028375,0,0,0,inf,0.1024806683
57,36681,403,12086.96572,0,0,0,0,1,0,82.75048828,0.08275048828,0,2,24.16904168,0,0,0,inf,0.08954494735
58,37138,456,7379.13918,1,0,0,0,0,0,48.67314148,0.04867314148,0,0,0,0,0,0,inf,0.04824235222
59,37675,536,10482.22204,1,0,0,0,0,0,69.93943787,0.06993943787,0,3,42.89425382,0,0,0,inf,0.07696912315
